country,iso3,group
Tanzania,TZA,C. Africa
Canada,CAN,Canada
Argentina,ARG,S. America
Chile,CHL,S. America
Dem. Rep. Congo,COD,C. Africa
Somalia,SOM,C. Africa
Kenya,KEN,C. Africa
Sudan,SDN,C. Africa
Chad,TCD,C. Africa
Russia,RUS,Russia
South Africa,ZAF,S. Africa
Uruguay,URY,S. America
Brazil,BRA,C. America
Bolivia,BOL,C. America
Peru,PER,C. America
Colombia,COL,C. America
Panama,PAN,C. America
Costa Rica,CRI,C. America
Nicaragua,NIC,C. America
Honduras,HND,C. America
El Salvador,SLV,C. America
Guatemala,GTM,C. America
Belize,BLZ,C. America
Venezuela,VEN,C. America
Guyana,GUY,C. America
Suriname,SUR,C. America
France,FRA,S.W. Europe
Ecuador,ECU,C. America
Zimbabwe,ZWE,C. Africa
Botswana,BWA,S. Africa
Namibia,NAM,S. Africa
Senegal,SEN,C. Africa
Mali,MLI,C. Africa
Mauritania,MRT,C. Africa
Benin,BEN,C. Africa
Niger,NER,C. Africa
Nigeria,NGA,C. Africa
Cameroon,CMR,C. Africa
Togo,TGO,C. Africa
Ghana,GHA,C. Africa
C̫te d'Ivoire,CIV,C. Africa
Guinea,GIN,C. Africa
Guinea-Bissau,GNB,C. Africa
Liberia,LBR,C. Africa
Sierra Leone,SLE,C. Africa
Burkina Faso,BFA,C. Africa
Central African Rep.,CAF,C. Africa
Congo,COG,C. Africa
Gabon,GAB,C. Africa
Eq. Guinea,GNQ,C. Africa
Zambia,ZMB,C. Africa
Malawi,MWI,C. Africa
Mozambique,MOZ,C. Africa
eSwatini,SWZ,S. Africa
Angola,AGO,C. Africa
Burundi,BDI,C. Africa
Madagascar,MDG,C. Africa
Gambia,GMB,C. Africa
Austria,AUT,N.W. Europe
Lithuania,LTU,Baltics
Latvia,LVA,Baltics
Estonia,EST,Baltics
Germany,DEU,N.W. Europe
Switzerland,CHE,N.W. Europe
Luxembourg,LUX,N.W. Europe
Belgium,BEL,N.W. Europe
Netherlands,NLD,N.W. Europe
Portugal,PRT,S.W. Europe
Spain,ESP,S.W. Europe
Ireland,IRL,N.W. Europe
New Caledonia,NCL,Oceania
New Zealand,NZL,Oceania
Australia,AUS,Oceania
Italy,ITA,S.W. Europe
United Kingdom,GBR,N.W. Europe
Eritrea,ERI,C. Africa
Paraguay,PRY,S. America
Ethiopia,ETH,C. Africa
Djibouti,DJI,C. Africa
Uganda,UGA,C. Africa
Rwanda,RWA,C. Africa
