Date,Confirmed,Recovered,Deaths,Active,Temperature
2020-03-07,7,1,2,4,11.1076791645016
2020-03-08,12,2,4,6,12.079220894213
2020-03-09,44,4,8,32,12.1800466995084
2020-03-10,109,6,9,94,12.5579109844201
2020-03-11,191,9,11,171,13.1548726348975
2020-03-12,337,12,20,305,13.7493260594915
2020-03-13,579,16,34,529,13.527084225133
2020-03-14,742,20,62,660,13.0669258691457
2020-03-15,932,24,93,815,12.6156999321659
2020-03-16,1493,28,120,1345,12.7159373634065
2020-03-17,2005,32,152,1821,13.4798951916122
2020-03-18,2608,36,197,2375,12.428078551372
2020-03-19,3208,40,232,2936,11.5841806850185
2020-03-20,3867,44,274,3549,11.931705859772
2020-03-21,4319,48,323,3948,12.409390885229
2020-03-22,4681,52,390,4239,12.6277961094613
2020-03-23,5651,56,482,5113,12.8836316088064
2020-03-24,6396,61,591,5744,11.7273509028967
2020-03-25,7095,64,707,6324,10.0244020374511
2020-03-26,7803,92,845,6866,8.5681102892758
2020-03-27,8395,156,992,7247,9.88880159251722
2020-03-28,8853,236,1151,7466,12.5463915189252
2020-03-29,9185,373,1299,7513,13.1696444119841
2020-03-30,9854,601,1488,7765,10.2393688568607
2020-03-31,10337,736,1671,7930,11.1039793778767
2020-04-01,10810,895,1831,8084,11.5307633853472
2020-04-02,11246,1429,1984,7833,11.2778569619102
2020-04-03,11723,1909,2147,7667,12.2306862721338
2020-04-04,11987,2467,2291,7229,12.1499895947893
2020-04-05,12172,3032,2435,6705,12.1645558002742
2020-04-06,12662,3649,2590,6423,12.8563846690941
2020-04-07,13000,4052,2755,6193,13.5773385017229
2020-04-08,13433,4347,2895,6191,13.932244583125
2020-04-09,13813,5225,3036,5552,13.8989235013109
2020-04-10,14149,5861,3155,5133,14.321184518728
2020-04-11,14406,6444,3294,4668,14.6121520968299
2020-04-12,14640,7014,3431,4195,14.6639344844644
2020-04-13,14887,7459,3529,3899,14.0238122089684
2020-04-14,15282,7758,3645,3879,14.4740197692636
2020-04-15,15735,7942,3755,4038,14.2000043844863
2020-04-16,16185,8422,3853,3910,15.0569539507853
2020-04-17,16733,8722,3951,4060,14.6625035298705
2020-04-18,16920,9035,4026,3859,15.1623400342414
2020-04-19,17093,9318,4108,3667,15.1576698936405
2020-04-20,17422,9632,4186,3604,15.4117563374681
2020-04-21,17720,9752,4262,3706,14.5256182982426
2020-04-22,17936,9793,4314,3829,14.2450090481764
2020-04-23,18212,10128,4353,3731,15.5833201853197
2020-04-24,18468,10301,4412,3755,15.228226162661
2020-04-25,18592,10594,4465,3533,15.3791238513367
2020-04-26,18718,10833,4513,3372,15.4680517307155
2020-04-27,18835,11050,4549,3236,15.5317402740012
2020-04-28,18979,11168,4600,3211,16.2241430924388
2020-04-29,19232,11265,4638,3329,15.9397643948295
2020-04-30,19347,11414,4675,3258,17.534989649571
2020-05-01,19427,11693,4713,3021,18.4515705425724
2020-05-02,19489,12036,4749,2704,18.2218297172453
2020-05-03,19515,12388,4772,2355,18.0442883613976
2020-05-04,19610,12838,4806,1966,17.7294455842949
2020-05-05,19699,12950,4841,1908,18.6229686997308
2020-05-06,19803,13041,4869,1893,19.1222224948631
2020-05-07,19875,13292,4894,1689,18.9485632720882
2020-05-08,19943,13514,4910,1519,18.456177434847
2020-05-09,20023,13678,4926,1419,17.8284267540256
2020-05-10,20065,13915,4942,1208,17.079047066103
2020-05-11,20140,14112,4965,1063,18.0816389655343
2020-05-12,20225,14183,4980,1062,16.5286491519499
2020-05-13,20299,14261,4992,1046,17.4024422515811
2020-05-14,20360,14342,5004,1014,15.872170283568
2020-05-15,20418,14435,5025,958,16.3069850375362
2020-05-16,20454,14650,5032,772,17.1169003103599
2020-05-17,20477,14728,5044,705,17.8602885347814
2020-05-18,20560,14770,5045,745,18.253368186237
2020-05-19,20662,14796,5056,810,19.5908132325972
2020-05-20,20719,14799,5067,853,20.2743103057463
2020-05-21,20812,14860,5079,873,20.622445469416
2020-05-22,20951,14914,5086,951,20.7236871898128
2020-05-23,21005,14990,5095,920,20.5367679989953
2020-05-24,21063,15037,5100,926,19.3811866009672
2020-05-25,21171,15089,5109,973,19.4384457766414
2020-05-26,21247,15153,5113,981,20.4985876506285
2020-05-27,21303,15179,5119,1005,20.3693567938715
2020-05-28,21370,15231,5121,1018,19.6435059982371
2020-05-29,21464,15301,5128,1035,19.9830982629579
2020-05-30,21508,15363,5132,1013,19.4496246582529
2020-05-31,21524,15412,5139,973,19.5722611155607
2020-06-01,21533,15449,5145,939,19.9274401597319
2020-06-02,21560,15478,5149,933,20.1422904560722
2020-06-03,21596,15489,5157,950,20.2590985922529
2020-06-04,21653,15571,5160,922,19.17161423853
2020-06-05,21695,15662,5161,872,18.9806562929206
2020-06-06,21713,15708,5164,841,19.5879997940045
2020-06-07,21731,15789,5168,774,18.8362581826677
2020-06-08,21759,15921,5180,658,17.0841382427405
2020-06-09,21789,15966,5181,642,17.4715601584343
2020-06-10,21833,16019,5183,631,17.7747489470828
2020-06-11,21853,16118,5184,551,19.1606696779464
2020-06-12,21903,16190,5185,528,20.3070456952446
2020-06-13,21912,16240,5186,486,20.471696293639
2020-06-14,21922,16305,5189,428,19.8625699196574
2020-06-15,21939,16392,5191,356,20.2780991970152
2020-06-16,21960,16432,5192,336,19.3916671167872
2020-06-17,21984,16441,5193,350,18.9511308848447
2020-06-19,22008,16444,5194,370,18.6942267504007
2020-06-20,22021,16467,5196,358,19.9197419637936
2020-06-22,22049,16495,5198,356,20.7177861463148
2020-06-23,22081,16549,5199,333,21.5803487524968
2020-06-24,22086,16590,5200,296,22.0817942608616
2020-06-25,22107,16605,5203,299,22.2566532158159
2020-06-26,22151,16619,5204,328,22.5567825482185
2020-06-27,22159,16635,5207,317,23.2677907322559
2020-06-28,22166,16664,5208,294,23.7176512312248
2020-06-30,22209,16706,5210,293,23.4303916611743
2020-07-01,22259,16725,5211,323,23.6647028247535
2020-07-02,22308,16774,5212,322,23.7233771978924
2020-07-03,22380,16782,5215,383,23.8980636962806
2020-07-04,22402,16789,5216,397,24.4599323258106
2020-07-07,22523,16804,5219,500,24.1919304421472
2020-07-08,22686,16824,5220,642,21.7995090893614
2020-07-09,22882,16847,5221,814,22.4434875633959
2020-07-11,22949,16870,5223,856,23.7003161606478
2020-07-12,23008,16881,5226,901,24.4654470552404
2020-07-13,23324,16907,5227,1190,23.3209972135866
2020-07-14,23636,16938,5229,1469,23.3972529615854
2020-07-15,23990,16942,5230,1818,24.3776217953526
2020-07-16,24449,16960,5231,2258,24.4385891430455
2020-07-19,24611,17003,5233,2375,24.1801845279969
2020-07-20,25183,17008,5236,2939,23.7698940680163
2020-07-21,25733,17014,5238,3481,24.1868727378606
2020-07-22,26266,17055,5240,3971,23.8537388645163
2020-07-24,26795,17104,5241,4450,22.7409178868292
2020-07-25,26988,17152,5246,4590,22.2858604494299
2020-07-26,27114,17221,5250,4643,23.039979022351
2020-07-27,27718,17242,5255,5221,23.7345465406678
2020-07-28,28260,17360,5257,5643,24.3293612971577
2020-07-29,28788,17522,5258,6008,24.3607993342269
2020-07-30,29313,17717,5267,6329,24.5799503363842
2020-07-31,29837,17782,5269,6786,24.7742514298591
2020-08-01,29997,17838,5272,6887,25.5548770971858
2020-08-02,30111,18153,5273,6685,25.2731067044955
2020-08-03,30614,18463,5275,6876,25.1764336241514
2020-08-04,31081,18816,5282,6983,24.9484438121133
2020-08-05,31562,19274,5284,7004,25.7663928623605
2020-08-06,31996,19434,5287,7275,25.9651455223393
2020-08-07,32473,20003,5289,7181,25.9556257921751
2020-08-08,32606,20551,5290,6765,26.4596549529068
2020-08-09,32707,21082,5295,6330,26.9084206261443
2020-08-10,33234,21610,5300,6324,27.3401685782862
2020-08-11,33731,21798,5308,6625,26.3377897086721
2020-08-12,34222,21920,5311,6991,23.4283254359323
2020-08-13,34727,22519,5316,6892,23.0979922051616
2020-08-14,35198,23059,5323,6816,24.1088817658693
2020-08-15,35337,23586,5327,6424,24.9642985804179
2020-08-16,35449,24102,5328,6019,25.6324749307519
2020-08-17,35973,24624,5332,6017,26.0659130442882
2020-08-18,36485,24781,5336,6368,26.2570354377448
2020-08-19,37014,24894,5342,6778,25.9115296860172
2020-08-20,37501,25395,5344,6762,26.2675267809211
2020-08-21,37988,25855,5345,6788,26.1658517394837
2020-08-22,38151,26334,5352,6465,25.9261139604722
2020-08-23,38287,26765,5357,6165,25.4710096475462
2020-08-24,38856,27240,5365,6251,25.3410223679235
2020-08-25,39312,27372,5368,6572,25.0069817920371
2020-08-26,39806,27468,5373,6965,24.8791499803263
2020-08-27,40272,27990,5379,6903,24.99800194653
2020-08-28,40750,28479,5383,6888,25.7544469788832
2020-08-29,40905,28967,5385,6553,26.0928341338061
2020-08-30,41048,29467,5390,6191,26.3748578141284
2020-08-31,41578,29931,5393,6254,26.2858400669335
2020-09-01,42016,30066,5402,6548,24.9706916458081
2020-09-02,42440,30177,5407,6856,24.2838490459112
2020-09-03,42897,30697,5414,6786,25.4259173210639
2020-09-04,43335,31205,5423,6707,25.8591947891323
2020-09-05,43461,31728,5427,6306,25.7323221784603
2020-09-06,43558,32213,5434,5911,25.1056037759681
2020-09-07,44013,32699,5438,5876,20.0020851658973
2020-09-08,44390,32855,5442,6093,19.7944424129171
2020-09-09,44798,32986,5446,6366,20.3586510279728
2020-09-10,45215,33547,5451,6217,22.1024028665006
2020-09-11,45337,34000,5455,5882,21.6315349793391
2020-09-12,45460,34489,5458,5513,22.7988076273093
2020-09-13,45593,34949,5461,5183,23.0422208885077
2020-09-14,46137,35423,5465,5249,23.3958775300197
2020-09-15,46622,35576,5469,5577,23.0131485576822
2020-09-16,47032,35714,5473,5845,20.2365506614016
2020-09-17,47531,36241,5478,5812,21.0855085526737
2020-09-18,48003,36670,5482,5851,20.8287110295015
2020-09-19,48163,37089,5485,5589,21.9153080953394
2020-09-20,48309,37539,5487,5283,23.7698434502368
2020-09-21,48834,37968,5492,5374,24.3714748098817
2020-09-23,49296,38090,5495,5711,24.3474833010317
2020-09-24,49452,38180,5497,5775,23.7160807205328
2020-09-25,49873,38631,5499,5743,23.6719372858149
2020-09-26,50003,39004,5500,5499,23.4139761202077
2020-09-27,50096,39408,5505,5183,23.9295593918046
2020-09-28,50643,39820,5510,5313,23.3356365435681
2020-09-29,51122,39938,5519,5665,22.5130599173738
2020-09-30,51618,40058,5527,6033,22.6945545570904
2020-10-01,52168,40188,5529,6451,21.3745215882792
2020-10-02,52721,40728,5532,6461,21.0723900258417
2020-10-03,52925,41209,5536,6180,21.9050035440629
2020-10-04,53082,41615,5542,5925,22.6751322732688
2020-10-05,53782,42109,5544,6129,19.1580098026138
2020-10-06,54501,42577,5546,6378,17.9278704480591
2020-10-07,55252,42734,5547,6971,17.1946897888348
2020-10-08,56079,42878,5551,7650,18.3816625271526
2020-10-09,57062,43398,5557,8107,19.3259148089245
2020-10-10,57441,43857,5563,8021,19.3250202560127
2020-10-11,57717,44011,5571,8135,20.3520831549227
2020-10-12,58082,44430,5578,8074,17.7415160672006
2020-10-13,59301,44559,5584,9158,16.1107704638371
2020-10-14,60540,44647,5588,10305,17.2915889495896
2020-10-15,61821,45189,5596,11036,16.4903927667124
2020-10-16,63069,45659,5608,11802,18.9867008573173
2020-10-17,63526,46147,5616,11763,19.9978978476308
2020-10-18,63939,46695,5626,11618,19.8309056924543
2020-10-19,65602,47245,5630,12727,19.8390985248365
2020-10-20,67305,47445,5644,14216,18.4459076400258
2020-10-21,69146,47596,5652,15898,15.392547304159
2020-10-22,70901,48294,5665,16942,16.3629926105325
2020-10-23,72615,49011,5679,17925,16.4736422197646
2020-10-24,73220,49761,5692,17767,14.1605006733627
2020-10-25,73616,50584,5703,17329,14.1411763431708
2020-10-26,75559,51561,5725,18273,13.9607608780351
2020-10-27,77328,51934,5741,19653,14.7185851162533
2020-10-28,78970,52202,5764,21004,15.5253951686638
2020-10-29,80331,52560,5788,21983,16.4330954271847
2020-10-30,81770,53773,5815,22182,18.6369675044021
2020-10-31,82289,55008,5835,21446,19.9304009344053
2020-11-01,82582,56281,5849,20452,19.057227382476
2020-11-02,84237,57517,5875,20845,18.8177418532779
2020-11-03,85696,57966,5893,21837,16.7687681656752
2020-11-04,86952,58369,5921,22662,17.6303246869632
2020-11-05,88164,60028,5951,22185,15.0507101277638
2020-11-06,89285,61717,5962,21606,14.6121763681793
2020-11-07,89665,63550,5989,20126,16.0305874175512
2020-11-08,89847,65292,6005,18550,16.667507650059
2020-11-09,91018,66992,6027,17999,16.6336040434131
2020-11-10,91944,67584,6048,18312,16.770402109163
2020-11-11,92801,67969,6074,18758,16.9561386706506
2020-11-12,93541,69890,6099,17552,17.3034977950455
2020-11-13,94181,71643,6133,16405,16.6786385141523
2020-11-14,94424,73262,6154,15008,14.6281429695771
2020-11-15,94551,74599,6165,13787,15.3215430538225
2020-11-16,95381,76011,6190,13180,17.2672809831225
2020-11-17,96029,76510,6207,13312,17.3091875232743
2020-11-18,96592,76789,6223,13580,14.9095112616123
2020-11-19,97027,78418,6242,12367,15.2743744497021
2020-11-20,97418,79859,6262,11297,15.370287031427
2020-11-21,97568,81087,6282,10199,14.7806457627545
2020-11-22,97649,82269,6298,9082,15.0097404548929
2020-11-23,98177,83379,6309,8489,15.3180510338404
2020-11-24,98582,83732,6316,8534,15.6435904252516
2020-11-25,98954,83898,6333,8723,16.6196896667954
2020-11-26,99336,85047,6351,7938,16.1322615966739
2020-11-27,99751,85952,6365,7434,14.6069387601423
2020-11-28,99908,86783,6383,6742,14.125718750112
2020-11-29,100009,87498,6399,6112,15.1725696739416
2020-11-30,100469,88104,6410,5955,13.2780028578039
2020-12-01,100890,88326,6425,6139,11.6089170400924
2020-12-02,101264,88442,6440,6382,11.2932747966862
2020-12-03,101613,89247,6457,5909,11.9492067645756
2020-12-04,101901,89878,6471,5552,12.6631131905627
2020-12-05,102027,90425,6482,5120,14.200771397227
2020-12-06,102103,90841,6488,4774,15.2783381323791
2020-12-07,102518,91212,6495,4811,14.8517183499844
2020-12-08,102619,91342,6504,4773,13.9387178920007
2020-12-09,103152,91407,6516,5229,14.6957352854114
2020-12-10,103657,91924,6532,5201,12.5159257072619
2020-12-11,104217,92322,6537,5358,11.9859062891364
2020-12-12,104430,92677,6543,5210,10.4152671800189
2020-12-13,104567,93041,6553,4973,9.74731426735907
2020-12-14,105321,93442,6564,5315,10.7798781718018
2020-12-15,105980,93581,6574,5825,8.24965282665769
2020-12-16,106548,93666,6586,6296,8.87689444801146
2020-12-17,107187,94115,6597,6475,10.0606071599928
2020-12-18,107864,94521,6606,6737,10.1994271665607
2020-12-19,108214,94880,6618,6716,9.6832275380376
2020-12-20,108434,95212,6630,6592,10.8669584360372
2020-12-21,109407,95486,6635,7286,12.0027294850007
2020-12-22,110276,95601,6646,8029,12.6844335491147
2020-12-23,111078,95671,6661,8746,11.2318767893371
2020-12-24,111819,96079,6667,9073,12.493475519686
2020-12-25,112061,96171,6680,9210,13.4704797281496
2020-12-26,112334,96692,6692,8950,11.5184249374765
2020-12-27,112602,97181,6701,8720,12.348248559179
2020-12-28,113786,97736,6718,9332,13.3476335068589
2020-12-29,114934,97943,6735,10256,12.5524484186182
2020-12-30,115970,98070,6751,11149,12.3479369862437
2020-12-31,116908,98813,6773,11322,11.7476822650227
2021-01-01,117169,99462,6785,10922,11.5670997776866
2021-01-02,117588,100018,6801,10769,12.5266748996669
2021-01-03,117924,100646,6802,10476,11.5674576727714
2021-01-04,119427,101314,6818,11295,8.71091697919008
2021-01-05,120859,101652,6833,12374,7.8249136417495
2021-01-06,121206,101860,6843,12503,7.50360429148718
2021-01-07,122657,102828,6866,12963,10.3514450018843
2021-01-08,124128,103686,6887,13555,9.4506578874889
2021-01-09,124696,104473,6904,13319,8.54367053784442
2021-01-10,125128,105208,6923,12997,8.91372211171641
2021-01-11,126924,105437,6941,14546,8.04408049177977
2021-01-12,128515,105698,6960,15857,6.71164333846575
2021-01-13,129864,105957,6976,16931,6.47141292064055
2021-01-14,131177,107124,7004,17049,6.20656304199163
2021-01-15,132461,108255,7024,17182,5.48941070078807
2021-01-16,132960,109275,7044,16641,5.48792009321719
2021-01-17,133300,110191,7069,16040,5.66546286140841
2021-01-18,134980,110440,7093,17447,5.56363542333777
2021-01-19,136519,110843,7114,18562,6.44455863590824
2021-01-20,137844,111178,7139,19527,6.70324386801807
2021-01-21,139038,112665,7165,19208,6.06687368493207
2021-01-22,140218,114082,7194,18942,5.47352878631817
2021-01-23,140621,114419,7222,18980,7.7765641564145
2021-01-24,140890,115847,7252,17791,7.71513313905992
2021-01-25,142322,117297,7276,17749,8.71111028914314
2021-01-26,143561,117848,7295,18418,8.50813717500709
2021-01-27,144770,118261,7317,19192,10.0990778421072
2021-01-28,145963,120039,7341,18583,9.79782352369535
2021-01-29,147023,121611,7378,18034,9.51896097553379
2021-01-30,147390,122944,7411,17035,10.5767114630156
2021-01-31,147625,124229,7438,15958,11.2595901752037
2021-02-01,148827,125493,7461,15873,12.1900356104671
2021-02-02,149772,125972,7480,16320,10.7846712102099
2021-02-03,150641,126287,7503,16851,12.0422677228525
2021-02-04,151459,127943,7522,15994,13.585734307156
2021-02-05,152163,129461,7544,15158,13.704858266756
2021-02-06,152390,130761,7566,14063,14.3759562611366
2021-02-07,152528,131929,7589,13010,13.6186823615691
2021-02-08,153437,133080,7608,12749,11.0211221190983
2021-02-09,154154,133455,7631,13068,10.5777944211565
2021-02-10,154714,133694,7649,13371,10.2281351152062
2021-02-11,155237,135102,7666,12469,10.2595916175816
2021-02-12,155808,136322,7683,11803,11.0566792069756
2021-02-13,156022,137509,7705,10808,13.6651289883078
2021-02-14,156147,138678,7716,9753,13.0026154374308
2021-02-15,156863,139701,7727,9435,11.7423138931773
2021-02-16,157507,140035,7747,9725,12.6645617796804
2021-02-17,158074,140243,7760,10071,12.3436251373561
2021-02-18,158635,141422,7777,9436,11.7803245163841
2021-02-19,159090,142348,7784,8958,12.6447531921508
2021-02-20,159271,143194,7793,8284,13.0755299017285
2021-02-21,159392,143993,7809,7590,11.8017080191769
2021-02-22,160032,144675,7818,7539,10.6396699164057
2021-02-23,160552,144880,7823,7849,11.0834612920604
2021-02-24,161048,144995,7837,8216,11.8083562995573
2021-02-25,161427,145885,7847,7695,11.6983305120125
2021-02-26,161905,146579,7859,7467,12.3903187665959
2021-02-27,162090,147121,7873,7096,13.2726643339128
2021-02-28,162194,147627,7884,6683,12.2949068834543
2021-03-01,162706,148181,7894,6631,12.5331897155104
2021-03-02,163156,148373,7908,6875,12.9565369064501
2021-03-03,163583,148487,7918,7178,12.5568719852758
2021-03-04,163967,149192,7927,6848,13.7719009699975
2021-03-05,164317,149816,7944,6557,14.3902973903727
2021-03-06,164429,150370,7956,6103,14.0564045224333
2021-03-07,164518,150914,7962,5642,11.2202545738214
2021-03-08,164954,151362,7970,5622,12.4406783199965
2021-03-09,165299,151534,7981,5784,14.0977026004334
2021-03-10,165660,151639,7992,6029,11.2389304606121
2021-03-11,165956,152270,7997,5689,11.1076791645016
2021-03-12,166292,152785,8005,5502,12.079220894213
2021-03-13,166418,153267,8011,5140,12.1800466995084
2021-03-14,166526,153636,8017,4873,12.5579109844201
2021-03-15,167000,154102,8024,4874,13.1548726348975
2021-03-16,167426,154273,8030,5123,13.7493260594915
2021-03-17,167771,154366,8033,5372,13.527084225133
2021-03-18,168138,154868,8035,5235,13.0669258691457
2021-03-19,168514,155304,8038,5172,12.6156999321659
2021-03-20,168642,155721,8047,4874,12.7159373634065
2021-03-21,168768,156096,8054,4618,13.4798951916122
2021-03-22,169250,156429,8059,4762,12.428078551372
2021-03-23,169783,156529,8073,5181,11.5841806850185
2021-03-24,170279,156612,8092,5575,11.931705859772
2021-03-25,170783,157040,8096,5647,12.409390885229
2021-03-26,171282,157374,8102,5806,12.6277961094613
2021-03-27,171475,157724,8105,5646,12.8836316088064
2021-03-28,171615,158015,8114,5486,11.7273509028967
2021-03-29,172232,158343,8119,5770,10.0244020374511
2021-03-30,172796,158463,8124,6209,8.5681102892758
2021-03-31,173265,158565,8132,6568,9.88880159251722
2021-04-01,173664,159032,8139,6493,12.5463915189252
2021-04-02,173782,159452,8147,6183,13.1696444119841
2021-04-03,173899,159794,8148,5957,10.2393688568607
